country,Guns per 100
United States,120.5
Falkland Islands,62.1
Yemen,52.8
New Caledonia,42.5
Montenegro,39.1
Serbia,39.1
Canada,34.7
Uruguay,34.7
Cyprus,34.0
Finland,32.4
Lebanon,31.9
Iceland,31.7
Bosnia and Herzegovina,31.2
Austria,30.0
North Macedonia,29.8
Liechtenstein,28.8
Norway,28.8
Malta,28.3
Switzerland,27.6
New Zealand,26.3
Kosovo,23.8
Sweden,23.1
Greenland,22.3
Pakistan,22.3
Portugal,21.3
France,19.6
French Guiana,19.6
Germany,19.6
Iraq,19.6
Monaco,19.6
RÃ©union,19.6
Luxembourg,18.9
Bahamas,18.8
Jordan,18.7
Venezuela,18.5
Greece,17.6
Northern Cyprus,17.4
Kuwait,16.7
Oman,16.7
Paraguay,16.7
Qatar,16.7
Saudi Arabia,16.7
United Arab Emirates,16.7
U.S. Virgin Islands,16.6
Turkey,16.5
Suriname,15.9
Guyana,15.8
Slovenia,15.6
Namibia,15.4
Thailand,15.1
Australia,14.5
Italy,14.4
San Marino,14.4
Andorra,14.1
Honduras,14.1
Channel Islands,14.0
Croatia,13.7
Lithuania,13.6
Libya,13.3
Mexico,12.9
Bahrain,12.8
Belgium,12.7
Afghanistan,12.5
Czech Republic,12.5
Equatorial Guinea,12.5
Somalia (South Central),12.4
Puntland,12.3
Russia,12.3
Chile,12.1
Guatemala,12.1
Albania,12.0
El Salvador,12.0
Somaliland,11.9
Guam,11.5
Puerto Rico,11.5
Angola,11.2
Northern Ireland,11.0
Panama,10.8
Hungary,10.5
Latvia,10.5
Colombia,10.1
Georgia,10.1
Samoa,10.1
Belize,10.0
Costa Rica,10.0
Denmark,9.9
Faroe Islands,9.9
Ukraine,9.9
South Africa,9.7
South Sudan,9.6
Cayman Islands,9.2
Jamaica,8.8
Guadeloupe,8.5
Martinique,8.5
Saint Martin,8.5
Bulgaria,8.4
Brazil,8.3
Mauritius,8.3
Syria,8.2
Ghana,8.0
Tonga,8.0
Mongolia,7.9
Spain,7.5
Argentina,7.4
Dominican Republic,7.4
Iran,7.3
Ireland,7.2
Israel,6.7
Sudan,6.6
Gambia,6.5
Slovakia,6.5
Dominica,6.2
Maldives,6.2
Armenia,6.1
Belarus,6.1
Cape Verde,5.7
Scotland,5.6
Antigua and Barbuda,5.4
Montserrat,5.4
India,5.3
Nicaragua,5.2
Estonia,5.0
Lesotho,4.8
Morocco,4.8
Swaziland,4.8
Bermuda,4.6
England &  Wales,4.6
Grenada,4.6
Cambodia,4.5
Mozambique,4.5
Ivory Coast,4.4
Sint Maarten,4.2
Botswana,4.1
Egypt,4.1
Gibraltar,4.1
Seychelles,4.1
Vanuatu,3.9
Azerbaijan,3.6
China,3.6
Macau,3.6
Hong Kong,3.6
Philippines,3.6
Barbados,3.5
Gabon,3.4
Saint Kitts and Nevis,3.4
Saint Lucia,3.4
Saint Vincent and the Grenadines,3.4
SÃ£o TomÃ© and PrÃ­ncipe,3.4
Turks and Caicos Islands,3.3
Nigeria,3.2
Trinidad and Tobago,3.2
Djibouti,3.1
Laos,3.0
Moldova,3.0
Kazakhstan,2.8
Kyrgyzstan,2.8
Mauritania,2.8
Zimbabwe,2.8
Aruba,2.6
CuraÃ§ao,2.6
Haiti,2.6
Netherlands,2.6
Northern Mariana Islands,2.6
Romania,2.6
French Polynesia,2.5
Poland,2.5
Congo,2.4
Ecuador,2.4
Sri Lanka,2.4
Algeria,2.1
Cameroon,2.1
Cuba,2.1
Liberia,2.1
Bolivia,2.0
Burundi,2.0
Peru,2.0
Senegal,2.0
Central African Republic,1.8
Myanmar,1.6
Vietnam,1.6
Comoros,1.5
Guinea-Bissau,1.5
Kenya,1.5
Nepal,1.5
Brunei,1.4
DR Congo,1.2
Tuvalu,1.2
Mali,1.1
Palestine,1.1
Tunisia,1.1
Chad,1.0
Guinea,1.0
Papua New Guinea,1.0
Burkina Faso,0.9
Zambia,0.9
Bhutan,0.8
Kiribati,0.8
Tanzania,0.8
Togo,0.8
Uganda,0.8
British Virgin Islands,0.8
American Samoa,0.7
Madagascar,0.7
Malaysia,0.7
Micronesia,0.7
Fiji,0.5
Marshall Islands,0.5
Niger,0.5
Palau,0.5
Rwanda,0.5
Sierra Leone,0.5
Bangladesh,0.4
Eritrea,0.4
Ethiopia,0.4
Tajikistan,0.4
Turkmenistan,0.4
Uzbekistan,0.4
Benin,0.3
Japan,0.3
North Korea,0.3
Malawi,0.3
Singapore,0.3
East Timor,0.3
South Korea,0.2
Solomon Islands,0.2
Christmas Island,0.0
Holy See,0.0
Indonesia,0.0
Nauru,0.0
Taiwan,0.0
